codigo,codigo_nuevo,clasificador,nombre_ocupacion
9234,4,sinco,"Trabajadores de apoyo en la industria de la madera, papel y cartón"
9235,4,sinco,Trabajadores de apoyo en la industria textil y del zapato
7321,4,sinco,Artesanos y trabajadores en la elaboración de productos de papel y cartón
8999,4,sinco,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente"
7612,4,sinco,"Trabajadores en la elaboración de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros"
7613,4,sinco,Trabajadores del vidrio y similares
7999,4,sinco,"Otros trabajadores artesanales, no clasificados anteriormente"
53-6031,4,onet,Automotive and Watercraft Service Attendants
8143,4,sinco,"Operadores de máquinas en la elaboración de celulosa, papel y similares"
8144,4,sinco,Operadores de máquinas para la impresión y encuadernación
51-9195,4,onet,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9197,4,onet,Tire Builders
51-9199,4,onet,"Production Workers, All Other"
51-9191,4,onet,Adhesive Bonding Machine Operators and Tenders
51-9194,4,onet,Etchers and Engravers
51-9193,4,onet,Cooling and Freezing Equipment Operators and Tenders
51-9196,4,onet,"Paper Goods Machine Setters, Operators, and Tenders"
51-9192,4,onet,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9198,4,onet,Helpers--Production Workers
2624,5,sinco,Auxiliares y técnicos en construcción y arquitectura
17-3023,5,onet,Electrical and Electronic Engineering Technologists and Technicians
17-3029,5,onet,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3024,5,onet,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3025,5,onet,Environmental Engineering Technologists and Technicians
17-3027,5,onet,Mechanical Engineering Technologists and Technicians
17-3026,5,onet,Industrial Engineering Technologists and Technicians
17-3022,5,onet,Civil Engineering Technologists and Technicians
17-3021,5,onet,Aerospace Engineering and Operations Technologists and Technicians
2631,5,sinco,Técnicos en mantenimiento y reparación de vehículos de motor
2633,5,sinco,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales
53-6041,5,onet,Traffic Technicians
2635,5,sinco,Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales
2641,5,sinco,Técnicos eléctricos
2643,5,sinco,"Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)"
2645,5,sinco,Técnicos en reparación de equipos electromecánicos
2621,5,sinco,Auxiliares y técnicos industriales y químicos
2623,5,sinco,"Auxiliares y técnicos mineros, metalúrgicos y petroleros"
49-2091,6,onet,Avionics Technicians
49-2093,6,onet,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-2092,6,onet,"Electric Motor, Power Tool, and Related Repairers"
49-2098,6,onet,Security and Fire Alarm Systems Installers
49-2096,6,onet,"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-2095,6,onet,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
49-2094,6,onet,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
49-9031,6,onet,Home Appliance Repairers
47-4021,6,onet,Elevator Installers and Repairers
49-9012,6,onet,"Control and Valve Installers and Repairers, Except Mechanical Door"
49-9011,6,onet,Mechanical Door Repairers
51-2023,6,onet,Electromechanical Equipment Assemblers
2644,6,sinco,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)"
2646,6,sinco,Trabajadores en reparación de equipos electromecánicos
49-9081,6,onet,Wind Turbine Service Technicians
49-2021,6,onet,"Radio, Cellular, and Tower Equipment Installers and Repairers"
49-2022,6,onet,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
49-2097,6,onet,Electronic Home Entertainment Equipment Installers and Repairers
2816,7,sinco,Técnicos dietistas y nutriólogos
31-2021,7,onet,Physical Therapist Assistants
2823,7,sinco,Auxiliares hospitalarios y de medicina
29-1081,7,onet,Podiatrists
29-2053,7,onet,Psychiatric Technicians
29-2057,7,onet,Ophthalmic Medical Technicians
29-2055,7,onet,Surgical Technologists
29-2051,7,onet,Dietetic Technicians
29-2052,7,onet,Pharmacy Technicians
29-2056,7,onet,Veterinary Technologists and Technicians
29-2081,7,onet,"Opticians, Dispensing"
31-9011,7,onet,Massage Therapists
31-2011,7,onet,Occupational Therapy Assistants
2812,7,sinco,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas"
31-2012,7,onet,Occupational Therapy Aides
2814,7,sinco,Técnicos y asistentes farmacéuticos
31-2022,7,onet,Physical Therapist Aides
7341,8,sinco,"Sastres y modistos, costureras y confeccionadores de prendas de vestir"
49-9071,8,onet,"Maintenance and Repair Workers, General"
49-9099,8,onet,"Installation, Maintenance, and Repair Workers, All Other"
49-9091,8,onet,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9096,8,onet,Riggers
2639,8,sinco,"Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente"
49-9092,8,onet,Commercial Divers
49-9094,8,onet,Locksmiths and Safe Repairers
49-9095,8,onet,Manufactured Building and Mobile Home Installers
49-9097,8,onet,Signal and Track Switch Repairers
49-9098,8,onet,"Helpers--Installation, Maintenance, and Repair Workers"
7221,8,sinco,"Herreros, balconeros, aluminadores y forjadores"
2649,8,sinco,"Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente"
7222,8,sinco,"Cerrajeros, afiladores y pulidores de herramientas"
51-2041,8,onet,Structural Metal Fabricators and Fitters
49-9093,8,onet,"Fabric Menders, Except Garment"
8132,9,sinco,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos
7211,9,sinco,"Moldeadores, torneros y troqueladores"
8172,9,sinco,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares"
51-4031,9,onet,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4032,9,onet,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4033,9,onet,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4034,9,onet,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4035,9,onet,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-9111,9,onet,Packaging and Filling Machine Operators and Tenders
8141,9,sinco,Operadores de máquinas para el tratamiento de la madera y elaboración de aglomerados y triplay
8145,9,sinco,Operadores de máquinas para la elaboración de productos a base de papel y cartón
7223,9,sinco,"Joyeros, orfebres, plateros y pulidores de metal"
8123,9,sinco,"Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos"
51-9071,9,onet,Jewelers and Precious Stone and Metal Workers
2541,10,sinco,Diseñadores de moda y vestuario
27-1023,10,onet,Floral Designers
27-1026,10,onet,Merchandise Displayers and Window Trimmers
27-1029,10,onet,"Designers, All Other"
27-1021,10,onet,Commercial and Industrial Designers
27-1027,10,onet,Set and Exhibit Designers
27-1022,10,onet,Fashion Designers
2164,10,sinco,Escenógrafos
27-1024,10,onet,Graphic Designers
27-1025,10,onet,Interior Designers
2542,10,sinco,Diseñadores industriales
2543,10,sinco,Diseñadores gráficos
2544,10,sinco,"Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)"
19-1021,11,onet,Biochemists and Biophysicists
19-1029,11,onet,"Biological Scientists, All Other"
19-1022,11,onet,Microbiologists
19-1023,11,onet,Zoologists and Wildlife Biologists
19-1099,11,onet,"Life Scientists, All Other"
19-2042,11,onet,"Geoscientists, Except Hydrologists and Geographers"
19-2041,11,onet,"Environmental Scientists and Specialists, Including Health"
19-2043,11,onet,Hydrologists
29-2012,11,onet,Medical and Clinical Laboratory Technicians
29-2011,11,onet,Medical and Clinical Laboratory Technologists
2221,11,sinco,Biólogos y especialistas en ciencias del mar y oceanógrafos
2234,11,sinco,Especialistas en pesca y en acuacultura
2813,11,sinco,Técnicos de laboratorios médicos
2632,12,sinco,Mecánicos en mantenimiento y reparación de vehículos de motor
49-3011,12,onet,Aircraft Mechanics and Service Technicians
49-3023,12,onet,Automotive Service Technicians and Mechanics
49-3021,12,onet,Automotive Body and Related Repairers
49-3022,12,onet,Automotive Glass Installers and Repairers
49-3031,12,onet,Bus and Truck Mechanics and Diesel Engine Specialists
49-3043,12,onet,Rail Car Repairers
49-3042,12,onet,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3041,12,onet,Farm Equipment Mechanics and Service Technicians
49-3052,12,onet,Motorcycle Mechanics
49-3051,12,onet,Motorboat Mechanics and Service Technicians
49-3053,12,onet,Outdoor Power Equipment and Other Small Engine Mechanics
5411,13,sinco,Trabajadores de la fuerza armada aérea
5412,13,sinco,Trabajadores de la fuerza armada marítima
5413,13,sinco,Trabajadores de la fuerza armada terrestre
55-3011,13,onet,Air Crew Members
55-3012,13,onet,Aircraft Launch and Recovery Specialists
55-3018,13,onet,Special Forces
55-3016,13,onet,Infantry
55-3015,13,onet,Command and Control Center Specialists
55-3014,13,onet,Artillery and Missile Crew Members
55-3019,13,onet,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
55-3013,13,onet,Armored Assault Vehicle Crew Members
2652,13,sinco,Técnicos en operaciones de equipos de radio
