codigo,codigo_nuevo,clasificador,nombre_ocupacion
1629,37,sinco,"Otros coordinadores y jefes de área  en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente"
1223,38,sinco,Directores y gerentes en centros de enseñanza y capacitación
11-3131,38,onet,Training and Development Managers
11-9039,38,onet,"Education Administrators, All Other"
11-9031,38,onet,"Education and Childcare Administrators, Preschool and Day Care"
11-9032,38,onet,"Education Administrators, Kindergarten through Grade 12"
11-9033,38,onet,"Education Administrators, Postsecondary"
1523,38,sinco,Coordinadores y jefes de área en centros de enseñanza y capacitación
2311,39,sinco,Supervisores e inspectores educativos
13-1041,39,onet,Compliance Officers
43-4031,39,onet,"Court, Municipal, and License Clerks"
45-2011,39,onet,Agricultural Inspectors
47-4011,39,onet,Construction and Building Inspectors
2523,39,sinco,Agentes de recaudación tributaria y de licencias
2524,39,sinco,"Inspectores en seguridad social, de precios y otros inspectores públicos"
19-4021,40,onet,Biological Technicians
19-4031,40,onet,Chemical Technicians
19-4051,40,onet,Nuclear Technicians
19-4099,40,onet,"Life, Physical, and Social Science Technicians, All Other"
19-4092,40,onet,Forensic Science Technicians
2612,40,sinco,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente"
2614,40,sinco,"Auxiliares y técnicos en veterinaria, pesca y forestación"
49-9062,41,onet,Medical Equipment Repairers
49-9063,41,onet,Musical Instrument Repairers and Tuners
49-9069,41,onet,"Precision Instrument and Equipment Repairers, All Other"
49-9061,41,onet,Camera and Photographic Equipment Repairers
49-9064,41,onet,Watch Repairers
2636,41,sinco,Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales
51-4041,41,onet,Machinists
51-9081,42,onet,Dental Laboratory Technicians
51-9082,42,onet,Medical Appliance Technicians
51-9083,42,onet,Ophthalmic Laboratory Technicians
29-2099,42,onet,"Health Technologists and Technicians, All Other"
29-2091,42,onet,Orthotists and Prosthetists
29-2092,42,onet,Hearing Aid Specialists
2815,42,sinco,Técnicos de prótesis médicas y dentales
39-3092,43,onet,Costume Attendants
39-3093,43,onet,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3091,43,onet,Amusement and Recreation Attendants
5999,43,sinco,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente"
9713,43,sinco,"Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones"
5213,43,sinco,Bañeros y masajistas
39-3099,43,onet,"Entertainment Attendants and Related Workers, All Other"
37-3013,44,onet,Tree Trimmers and Pruners
37-3012,44,onet,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3019,44,onet,"Grounds Maintenance Workers, All Other"
37-3011,44,onet,Landscaping and Groundskeeping Workers
9651,44,sinco,Ayudantes de jardineros
5241,44,sinco,Jardineros en establecimientos
5242,44,sinco,Jardineros en casas particulares
47-2051,45,onet,Cement Masons and Concrete Finishers
47-2042,45,onet,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47-2041,45,onet,Carpet Installers
7132,45,sinco,"Instaladores de pisos, azulejos, mosaicos y baldosas"
47-2044,45,onet,Tile and Stone Setters
47-2043,45,onet,Floor Sanders and Finishers
47-2053,45,onet,Terrazzo Workers and Finishers
37-2011,46,onet,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2019,46,onet,"Building Cleaning Workers, All Other"
37-2012,46,onet,Maids and Housekeeping Cleaners
35-9021,46,onet,Dishwashers
9611,46,sinco,Trabajadores domésticos
9643,46,sinco,Lavanderos y planchadores domésticos
9623,46,sinco,Mozos de hotel y restaurante
11-2011,47,onet,Advertising and Promotions Managers
11-3061,47,onet,Purchasing Managers
1511,47,sinco,"Coordinadores y jefes de área en administración, recursos humanos y mercadotecnia"
11-3111,47,onet,Compensation and Benefits Managers
11-3121,47,onet,Human Resources Managers
1211,47,sinco,"Directores y gerentes en administración, recursos humanos y mercadotecnia"
1224,48,sinco,"Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia"
1226,48,sinco,Directores en servicios de vigilancia y seguridad
1524,48,sinco,"Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales"
23-1022,48,onet,"Arbitrators, Mediators, and Conciliators"
23-1023,48,onet,"Judges, Magistrate Judges, and Magistrates"
23-1021,48,onet,"Administrative Law Judges, Adjudicators, and Hearing Officers"
27-2012,49,onet,Producers and Directors
27-2011,49,onet,Actors
1421,49,sinco,"Directores y productores artísticos de cine, teatro y afines"
13-1011,49,onet,"Agents and Business Managers of Artists, Performers, and Athletes"
1721,49,sinco,"Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines"
2175,49,sinco,Actores
2144,50,sinco,"Especialistas en archivonomía, biblioteconomía y museografía"
25-4012,50,onet,Curators
25-4013,50,onet,Museum Technicians and Conservators
25-4011,50,onet,Archivists
1422,50,sinco,"Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales"
1722,50,sinco,"Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales"
33-1021,51,onet,First-Line Supervisors of Fire Fighting and Prevention Workers
33-1012,51,onet,First-Line Supervisors of Police and Detectives
33-1011,51,onet,First-Line Supervisors of Correctional Officers
33-1099,51,onet,"First-Line Supervisors of Protective Service Workers, All Other"
5301,51,sinco,Supervisores en servicios de protección y vigilancia
1526,51,sinco,Coordinadores y jefes de área en servicios de vigilancia y seguridad
2122,52,sinco,Asesores y analistas en finanzas
13-2052,52,onet,Personal Financial Advisors
13-2051,52,onet,Financial and Investment Analysts
13-2053,52,onet,Insurance Underwriters
13-2061,52,onet,Financial Examiners
13-2099,52,onet,"Financial Specialists, All Other"
15-2041,53,onet,Statisticians
15-2099,53,onet,"Mathematical Science Occupations, All Other"
2212,53,sinco,"Investigadores y especialistas en matemáticas, estadística y actuaría"
15-2011,53,onet,Actuaries
15-2021,53,onet,Mathematicians
15-2031,53,onet,Operations Research Analysts
2241,54,sinco,Ingenieros eléctricos
2242,54,sinco,Ingenieros electrónicos
2281,54,sinco,Ingenieros en comunicaciones y telecomunicaciones
17-2072,54,onet,"Electronics Engineers, Except Computer"
17-2071,54,onet,Electrical Engineers
17-2141,54,onet,Mechanical Engineers
29-1029,55,onet,"Dentists, All Other Specialists"
29-1023,55,onet,Orthodontists
2413,55,sinco,Dentistas
29-1021,55,onet,"Dentists, General"
29-1024,55,onet,Prosthodontists
29-1022,55,onet,Oral and Maxillofacial Surgeons
2561,56,sinco,Deportistas
2562,56,sinco,Entrenadores deportivos y directores técnicos
2563,56,sinco,Árbitros y jueces deportivos
27-2022,56,onet,Coaches and Scouts
27-2023,56,onet,"Umpires, Referees, and Other Sports Officials"
27-2021,56,onet,Athletes and Sports Competitors
39-3011,57,onet,Gambling Dealers
39-3019,57,onet,"Gambling Service Workers, All Other"
39-3012,57,onet,Gambling and Sports Book Writers and Runners
39-7012,57,onet,Travel Guides
39-7011,57,onet,Tour Guides and Escorts
3222,57,sinco,"Guías de turismo en museos, casinos, parques, cines y otros centros recreativos"
4211,58,sinco,"Empleados de ventas, despachadores y dependientes en comercios"
4212,58,sinco,"Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras"
41-2021,58,onet,Counter and Rental Clerks
41-2022,58,onet,Parts Salespersons
41-2031,58,onet,Retail Salespersons
4312,58,sinco,"Trabajadores en el alquiler de bienes muebles (loza, películas, video juegos, etcétera)"
5313,59,sinco,Vigilantes y guardias en establecimientos
33-3031,59,onet,Fish and Game Wardens
33-9011,59,onet,Animal Control Workers
33-9032,59,onet,Security Guards
33-9031,59,onet,Gambling Surveillance Officers and Gambling Investigators
39-3031,59,onet,"Ushers, Lobby Attendants, and Ticket Takers"
45-4029,60,onet,"Logging Workers, All Other"
45-4022,60,onet,Logging Equipment Operators
45-4021,60,onet,Fallers
45-4023,60,onet,Log Graders and Scalers
6221,60,sinco,"Taladores, trocadores, cortadores de árboles y similares"
6222,60,sinco,"Caucheros, chicleros, resineros y similares"
7213,61,sinco,"Hojalateros, chaperos, latoneros, cobreros y pintores de metales"
7312,61,sinco,Pintores y barnizadores de madera
47-2211,61,onet,Sheet Metal Workers
51-9123,61,onet,"Painting, Coating, and Decorating Workers"
51-9121,61,onet,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
51-9122,61,onet,"Painters, Transportation Equipment"
51-4052,62,onet,"Pourers and Casters, Metal"
51-4051,62,onet,Metal-Refining Furnace Operators and Tenders
8121,62,sinco,"Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales"
51-4022,62,onet,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4023,62,onet,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4021,62,onet,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
8199,63,sinco,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente"
47-5021,63,onet,"Earth Drillers, Except Oil and Gas"
8113,63,sinco,"Operadores de máquinas y equipos para la captación, bombeo y distribución de agua"
53-7073,63,onet,Wellhead Pumpers
53-7071,63,onet,Gas Compressor and Gas Pumping Station Operators
53-7072,63,onet,"Pump Operators, Except Wellhead Pumpers"
51-4194,64,onet,"Tool Grinders, Filers, and Sharpeners"
51-4192,64,onet,"Layout Workers, Metal and Plastic"
8122,64,sinco,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal"
51-4193,64,onet,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4199,64,onet,"Metal Workers and Plastic Workers, All Other"
51-4191,64,onet,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-9051,65,onet,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-8012,65,onet,Power Distributors and Dispatchers
51-8013,65,onet,Power Plant Operators
8181,65,sinco,Operadores de máquinas e instalaciones para la generación de energía
51-8021,65,onet,Stationary Engineers and Boiler Operators
51-8011,65,onet,Nuclear Power Reactor Operators
9312,66,sinco,Ayudantes de conductores de transporte en vías férreas
53-4013,66,onet,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53-4011,66,onet,Locomotive Engineers
53-4041,66,onet,Subway and Streetcar Operators
8331,66,sinco,"Conductores de transporte en vías férreas (tren, metro y tren ligero)"
53-4099,66,onet,"Rail Transportation Workers, All Other"
11-1011,67,onet,Chief Executives
1122,67,sinco,Presidentes y directores generales en instituciones y empresas privadas
11-1021,67,onet,General and Operations Managers
1121,67,sinco,Presidentes y directores generales en instituciones públicas
1111,67,sinco,Altas autoridades gubernamentales y jurisdiccionales
11-9041,68,onet,Architectural and Engineering Managers
1315,68,sinco,"Directores y gerentes en construcción, reparación y mantenimiento"
11-9121,68,onet,Natural Sciences Managers
1324,68,sinco,Directores y gerentes en centros de investigación y desarrollo tecnológico
1624,68,sinco,Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico
13-1074,69,onet,Farm Labor Contractors
25-3021,69,onet,Self-Enrichment Teachers
2712,69,sinco,Instructores en estudios y capacitación artística
13-1071,69,onet,Human Resources Specialists
13-1075,69,onet,Labor Relations Specialists
21-1023,70,onet,Mental Health and Substance Abuse Social Workers
21-1021,70,onet,"Child, Family, and School Social Workers"
21-1029,70,onet,"Social Workers, All Other"
21-1022,70,onet,Healthcare Social Workers
2143,70,sinco,Especialistas en trabajo social
27-2041,71,onet,Music Directors and Composers
27-2042,71,onet,Musicians and Singers
2171,71,sinco,Compositores y arreglistas
2172,71,sinco,Músicos
2173,71,sinco,Cantantes
2341,72,sinco,Profesores de personas con problemas de audición y lenguaje
2342,72,sinco,Profesores de personas con problemas de aprendizaje
2343,72,sinco,Otros profesores de enseñanza especial
25-2051,72,onet,"Special Education Teachers, Pre-Kindergarten"
25-2059,72,onet,"Special Education Teachers, All Other"
33-2021,73,onet,Fire Inspectors and Investigators
33-2022,73,onet,Forest Fire Inspectors and Prevention Specialists
33-3021,73,onet,Detectives and Criminal Investigators
33-9021,73,onet,Private Detectives and Investigators
2521,73,sinco,Oficiales del ministerio público y detectives
2625,74,sinco,Dibujantes técnicos
17-3019,74,onet,"Drafters, All Other"
17-3012,74,onet,Electrical and Electronics Drafters
17-3011,74,onet,Architectural and Civil Drafters
17-3013,74,onet,Mechanical Drafters
49-9043,75,onet,"Maintenance Workers, Machinery"
49-9045,75,onet,"Refractory Materials Repairers, Except Brickmasons"
7212,75,sinco,Soldadores y oxicortadores
51-4121,75,onet,"Welders, Cutters, Solderers, and Brazers"
51-4122,75,onet,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
2642,76,sinco,Electricistas y linieros
47-2111,76,onet,Electricians
47-2231,76,onet,Solar Photovoltaic Installers
49-9051,76,onet,Electrical Power-Line Installers and Repairers
49-9052,76,onet,Telecommunications Line Installers and Repairers
27-4012,77,onet,Broadcast Technicians
27-4014,77,onet,Sound Engineering Technicians
27-4011,77,onet,Audio and Video Technicians
27-4099,77,onet,"Media and Communication Equipment Workers, All Other"
2654,77,sinco,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación"
2821,78,sinco,Auxiliares en enfermería y paramédicos
31-1014,78,onet,Nursing Assistants
31-1011,78,onet,Home Health Aides
31-1015,78,onet,Orderlies
31-1013,78,onet,Psychiatric Aides
43-6012,79,onet,Legal Secretaries and Administrative Assistants
43-6014,79,onet,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-6011,79,onet,Executive Secretaries and Executive Administrative Assistants
43-6013,79,onet,Medical Secretaries and Administrative Assistants
3111,79,sinco,Secretarias
43-4051,80,onet,Customer Service Representatives
43-4081,80,onet,"Hotel, Motel, and Resort Desk Clerks"
43-4171,80,onet,Receptionists and Information Clerks
43-4199,80,onet,"Information and Record Clerks, All Other"
3211,80,sinco,Recepcionistas y trabajadores que brindan información (de forma personal)
9511,81,sinco,Vendedores ambulantes de periódicos y lotería
9512,81,sinco,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos)
4999,81,sinco,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente"
41-9099,81,onet,"Sales and Related Workers, All Other"
41-9091,81,onet,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
9121,82,sinco,Trabajadores de apoyo en actividades silvícolas y forestales
45-4011,82,onet,Forest and Conservation Workers
6224,82,sinco,"Trabajadores en actividades de plantación, reforestación y conservación de bosques"
6225,82,sinco,Cortadores de leña
6226,82,sinco,"Trabajadores en actividades de recolección de plantas, hierbas y raíces no cultivadas"
43-9081,83,onet,Proofreaders and Copy Markers
51-5112,83,onet,Printing Press Operators
51-5113,83,onet,Print Binding and Finishing Workers
51-5111,83,onet,Prepress Technicians and Workers
7322,83,sinco,"Impresores, linotipistas, fotograbadores y encuadernadores"
51-8099,84,onet,"Plant and System Operators, All Other"
51-8091,84,onet,Chemical Plant and System Operators
51-8092,84,onet,Gas Plant Operators
51-8093,84,onet,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
8135,84,sinco,Operadores de máquinas y equipos para la refinación del petróleo y gas
8352,85,sinco,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera"
53-6011,85,onet,Bridge and Lock Tenders
53-7011,85,onet,Conveyor Operators and Tenders
53-7021,85,onet,Crane and Tower Operators
53-7051,85,onet,Industrial Truck and Tractor Operators
1521,86,sinco,"Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente"
11-9161,86,onet,Emergency Management Directors
11-9111,86,onet,Medical and Health Services Managers
1221,86,sinco,"Directores y gerentes en servicios de salud, protección civil y medio ambiente"
2112,87,sinco,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior"
13-1161,87,onet,Market Research Analysts and Marketing Specialists
27-3031,87,onet,Public Relations Specialists
41-9031,87,onet,Sales Engineers
13-2011,88,onet,Accountants and Auditors
2121,88,sinco,Contadores y auditores
13-2081,88,onet,"Tax Examiners and Collectors, and Revenue Agents"
13-2031,88,onet,Budget Analysts
23-1012,89,onet,Judicial Law Clerks
23-1011,89,onet,Lawyers
23-2011,89,onet,Paralegals and Legal Assistants
2135,89,sinco,Abogados
2152,90,sinco,Periodistas y redactores
27-3041,90,onet,Editors
27-3042,90,onet,Technical Writers
2151,90,sinco,Escritores y críticos literarios
19-2012,91,onet,Physicists
19-2011,91,onet,Astronomers
2211,91,sinco,Investigadores y especialistas en física
19-2099,91,onet,"Physical Scientists, All Other"
2232,92,sinco,Veterinarios y zootecnistas
19-1011,92,onet,Animal Scientists
19-1012,92,onet,Food Scientists and Technologists
29-1131,92,onet,Veterinarians
2424,93,sinco,Especialistas en seguridad e higiene y salud pública
19-1042,93,onet,"Medical Scientists, Except Epidemiologists"
17-2111,93,onet,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
19-1041,93,onet,Epidemiologists
17-2151,94,onet,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2171,94,onet,Petroleum Engineers
2254,94,sinco,"Ingenieros en minas, metalurgia y petróleo"
17-2131,94,onet,Materials Engineers
29-1151,95,onet,Nurse Anesthetists
2426,95,sinco,Enfermeras especialistas
29-1171,95,onet,Nurse Practitioners
29-1141,95,onet,Registered Nurses
2514,96,sinco,"Valuadores, subastadores y rematadores"
13-1031,96,onet,"Claims Adjusters, Examiners, and Investigators"
13-1032,96,onet,"Insurance Appraisers, Auto Damage"
13-2021,96,onet,Appraisers and Assessors of Real Estate
2552,97,sinco,Animadores y organizadores de eventos
27-3011,97,onet,Broadcast Announcers
13-1121,97,onet,"Meeting, Convention, and Event Planners"
2551,97,sinco,"Locutores de radio, televisión y otros medios de comunicación"
51-9141,98,onet,Semiconductor Processing Technicians
51-2021,98,onet,"Coil Winders, Tapers, and Finishers"
51-2022,98,onet,Electrical and Electronic Equipment Assemblers
8212,98,sinco,Ensambladores y montadores de partes eléctricas y electrónicas
27-4032,99,onet,Film and Video Editors
27-4031,99,onet,"Camera Operators, Television, Video, and Motion Picture"
39-3021,99,onet,Motion Picture Projectionists
2653,99,sinco,Auxiliares y técnicos de equipos de grabación y reproducción de video
53-4031,100,onet,Railroad Conductors and Yardmasters
53-6051,100,onet,Transportation Inspectors
2662,100,sinco,"Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)"
3142,100,sinco,Checadores y revisores de transporte
13-1199,101,onet,"Business Operations Specialists, All Other"
17-2161,101,onet,Nuclear Engineers
17-2199,101,onet,"Engineers, All Other"
2991,101,sinco,Otros especialistas no clasificados anteriormente
43-4021,102,onet,Correspondence Clerks
3131,102,sinco,Trabajadores en archivo y correspondencia
43-9051,102,onet,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-4071,102,onet,File Clerks
43-9031,103,onet,Desktop Publishers
43-9061,103,onet,"Office Clerks, General"
43-9199,103,onet,"Office and Administrative Support Workers, All Other"
3999,103,sinco,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente"
41-4011,104,onet,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4221,104,sinco,Agentes y representantes de ventas y consignatarios
41-3011,104,onet,Advertising Sales Agents
41-4012,104,onet,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-3021,105,onet,Insurance Sales Agents
41-3031,105,onet,"Securities, Commodities, and Financial Services Sales Agents"
43-4141,105,onet,New Accounts Clerks
4222,105,sinco,Agentes de seguros y servicios financieros (ejecutivos de cuenta)
4311,106,sinco,"Trabajadores en el alquiler inmobiliario (casas, terrenos, etcétera)"
41-9021,106,onet,Real Estate Brokers
41-9022,106,onet,Real Estate Sales Agents
4223,106,sinco,Agentes de bienes raíces
4231,107,sinco,Demostradores y promotores
41-9011,107,onet,Demonstrators and Product Promoters
4233,107,sinco,"Modelos de moda, arte y publicidad"
41-9012,107,onet,Models
35-1012,108,onet,First-Line Supervisors of Food Preparation and Serving Workers
7501,108,sinco,"Supervisores de trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco"
35-1011,108,onet,Chefs and Head Cooks
5101,108,sinco,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería"
39-9011,109,onet,Childcare Workers
39-9021,109,onet,Personal Care Aides
5221,109,sinco,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos"
5222,109,sinco,"Cuidadores de niños, personas con discapacidad y ancianos en casas particulares"
9624,110,sinco,Limpiadores de calzado
39-9099,110,onet,"Personal Care and Service Workers, All Other"
5251,110,sinco,"Astrólogos, adivinadores y afines"
5252,110,sinco,Trabajadores dedicados a la prostitución
55-2011,111,onet,First-Line Supervisors of Air Crew Members
5401,111,sinco,Supervisores de las fuerzas armadas
55-2012,111,onet,First-Line Supervisors of Weapons Specialists/Crew Members
55-2013,111,onet,First-Line Supervisors of All Other Tactical Operations Specialists
45-3011,112,onet,Fishers and Related Fishing Workers
45-3021,112,onet,Hunters and Trappers
9122,112,sinco,Trabajadores de apoyo en actividades de acuicultura y pesca
6211,112,sinco,Trabajadores en actividades pesqueras
37-1012,113,onet,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
9601,113,sinco,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos"
7101,113,sinco,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción"
37-1011,113,onet,First-Line Supervisors of Housekeeping and Janitorial Workers
47-2081,114,onet,Drywall and Ceiling Tile Installers
47-2161,114,onet,Plasterers and Stucco Masons
7131,114,sinco,"Yeseros, escayolistas y otros recubridores de techos y paredes"
47-2082,114,onet,Tapers
47-2151,115,onet,Pipelayers
47-4071,115,onet,Septic Tank Servicers and Sewer Pipe Cleaners
7134,115,sinco,"Plomeros, fontaneros e instaladores de tubería"
47-2152,115,onet,"Plumbers, Pipefitters, and Steamfitters"
51-7011,116,onet,Cabinetmakers and Bench Carpenters
51-7021,116,onet,Furniture Finishers
51-7099,116,onet,"Woodworkers, All Other"
7311,116,sinco,"Carpinteros, ebanistas y cepilladores en la elaboración de productos de madera"
7353,117,sinco,Zapateros artesanales
8154,117,sinco,"Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado"
51-6041,117,onet,Shoe and Leather Workers and Repairers
51-6042,117,onet,Shoe Machine Operators and Tenders
47-5041,118,onet,Continuous Mining Machine Operators
47-5049,118,onet,"Underground Mining Machine Operators, All Other"
53-7041,118,onet,Hoist and Winch Operators
8111,118,sinco,Operadores de máquinas y equipos para la extracción y beneficio en minas y canteras
8112,119,sinco,Operadores de máquinas y equipos para la extracción en pozos petroleros
47-5011,119,onet,"Derrick Operators, Oil and Gas"
47-5013,119,onet,"Service Unit Operators, Oil and Gas"
47-5012,119,onet,"Rotary Drill Operators, Oil and Gas"
8114,120,sinco,Operadores de equipos portátiles especializados para la construcción
47-2071,120,onet,"Paving, Surfacing, and Tamping Equipment Operators"
47-2073,120,onet,Operating Engineers and Other Construction Equipment Operators
47-2072,120,onet,Pile-Driver Operators
51-9011,121,onet,Chemical Equipment Operators and Tenders
51-9012,121,onet,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
8131,121,sinco,Operadores de máquinas para la elaboración de productos químicos
8163,121,sinco,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas
8321,122,sinco,Capitanes y conductores de transporte marítimo
8324,122,sinco,"Conductores de pequeñas embarcaciones (lanchas, botes, trajineras, etcétera)"
53-5021,122,onet,"Captains, Mates, and Pilots of Water Vessels"
53-5022,122,onet,Motorboat Operators
8344,123,sinco,Conductores de motocicleta
53-3099,123,onet,"Motor Vehicle Operators, All Other"
8349,123,sinco,"Otros conductores de transporte terrestre con motor, no clasificados anteriormente"
8343,123,sinco,Choferes en casas particulares
9721,124,sinco,Carteros (a pie y en bicicleta)
43-5053,124,onet,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-5051,124,onet,Postal Service Clerks
43-5052,124,onet,Postal Service Mail Carriers
1112,125,sinco,Legisladores
1113,125,sinco,Presidentes y autoridades municipales
11-1031,125,onet,Legislators
11-3071,126,onet,"Transportation, Storage, and Distribution Managers"
1323,126,sinco,Directores y gerentes en servicios de transporte
1623,126,sinco,Coordinadores y jefes de área en servicios de transporte
1512,127,sinco,"Coordinadores y jefes de área en servicios contables, financieros, banca y seguros"
11-3031,127,onet,Financial Managers
1212,127,sinco,"Directores y gerentes en servicios contables, financieros, banca y seguros"
1522,128,sinco,Coordinadores y jefes de área en desarrollo social y económico
1222,128,sinco,Directores y gerentes en desarrollo social y económico
11-9151,128,onet,Social and Community Service Managers
11-9013,129,onet,"Farmers, Ranchers, and Other Agricultural Managers"
1611,129,sinco,"Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera"
1311,129,sinco,"Directores y gerentes en producción agropecuaria, silvícola y pesquera"
11-3051,130,onet,Industrial Production Managers
1314,130,sinco,Directores y gerentes en producción manufacturera
1614,130,sinco,Coordinadores y jefes de área en producción manufacturera
1321,131,sinco,Directores y gerentes en informática
11-3021,131,onet,Computer and Information Systems Managers
1621,131,sinco,Coordinadores y jefes de área en informática
11-9051,132,onet,Food Service Managers
1712,132,sinco,Coordinadores y jefes de área de restaurantes y hoteles
39-9041,132,onet,Residential Advisors
6201,133,sinco,"Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares"
45-1011,133,onet,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6101,133,sinco,"Supervisores, encargados y capataces agropecuarios"
2640,134,sinco,"Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos"
2630,134,sinco,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos  de motor, instrumentos industriales y equipo de refrigeración"
49-1011,134,onet,"First-Line Supervisors of Mechanics, Installers, and Repairers"
19-3041,135,onet,Sociologists
19-3051,135,onet,Urban and Regional Planners
2132,135,sinco,Investigadores y especialistas en sociología y desarrollo social
2142,136,sinco,Psicólogos
19-3039,136,onet,"Psychologists, All Other"
19-3032,136,onet,Industrial-Organizational Psychologists
27-3091,137,onet,Interpreters and Translators
2153,137,sinco,Traductores e intérpretes
27-3099,137,onet,"Media and Communication Workers, All Other"
27-2031,138,onet,Dancers
27-2032,138,onet,Choreographers
2174,138,sinco,Bailarines y coreógrafos
15-2091,139,onet,Mathematical Technicians
2611,139,sinco,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría"
43-9111,139,onet,Statistical Assistants
19-2032,140,onet,Materials Scientists
19-2031,140,onet,Chemists
2222,140,sinco,Químicos
2223,141,sinco,Ecólogos y especialistas en ciencias atmosféricas
19-2021,141,onet,Atmospheric and Space Scientists
19-1031,141,onet,Conservation Scientists
17-2021,142,onet,Agricultural Engineers
19-1013,142,onet,Soil and Plant Scientists
2231,142,sinco,Agrónomos
17-2121,143,onet,Marine Engineers and Naval Architects
17-2011,143,onet,Aerospace Engineers
2252,143,sinco,Ingenieros mecánicos
17-1022,144,onet,Surveyors
17-2051,144,onet,Civil Engineers
2261,144,sinco,Ingenieros civiles y de la construcción
17-1011,145,onet,"Architects, Except Landscape and Naval"
17-1012,145,onet,Landscape Architects
2263,145,sinco,"Arquitectos, planificadores urbanos y del transporte"
2272,146,sinco,Administradores de bases de datos y redes de computadora
2271,146,sinco,Desarrolladores y analistas de software y multimedia
17-2061,146,onet,Computer Hardware Engineers
2331,147,sinco,Profesores de enseñanza secundaria
25-2031,147,onet,"Grade 9-12 Teachers, Except Special and Career/Technical Education"
25-2032,147,onet,"Career/Technical Education Teachers, Grade 9-12"
2714,148,sinco,Instructores en idiomas extranjeros
2333,148,sinco,Alfabetizadores
25-3011,148,onet,"Adult Basic, Adult Secondary, and English as a Second Language Instructors"
25-2011,149,onet,"Pre-kindergarten Teachers, Except Special Education"
