"p3","ingocup","se","cv"
1111,56694.5606694561,22770.6973157731,0.401638129776367
1112,51646.2585034014,5850.2500822391,0.113275390159266
1113,18238.9742366412,2204.87657907721,0.120888189789079
1121,19745.2290184922,4734.49873226054,0.239779377986778
1122,34971.7560907569,5333.83976877129,0.152518499640944
1129,34176.7441860465,4815.15500041352,0.140889810164522
1131,19056.9113441373,3918.19777415973,0.2056050796167
1132,16868.4077843242,4662.48301518188,0.276403266674328
1134,4830.53435114504,2518.61457349347,0.521394609873016
1135,13434.406779661,3622.43323740263,0.269638495901941
1211,23589.5217078206,2685.91504976756,0.11386051328362
1212,22572.0022627893,2530.37160335639,0.11210222176558
1221,18374.4675780528,2291.18797116188,0.124694114886821
1222,14319.2914403931,1414.80085079735,0.0988038309497882
1223,19502.9533269543,2561.66042840685,0.131347308556929
1224,52620.920502092,8979.16828100437,0.170638753471585
1225,18000,0,0
1226,12132.7774583094,1166.31625330915,0.0961293699910711
1311,15330.3286664333,1883.73459704777,0.122876334750234
1312,17390.5047225502,7867.75107004706,0.452416487938098
1313,7164.38356164384,2222.29768649133,0.310186866374507
1314,16622.1182978272,1355.19003902913,0.0815293222408531
1315,22793.4051535306,3238.68972249542,0.142088893725199
1321,40710.3483757166,4651.81172977394,0.114266075221029
1322,15662.6848691695,2418.28365456365,0.154397772461336
1323,23351.7797006143,4451.28658644483,0.190618729857567
1324,42042.2465208748,6094.77206851415,0.144967801981942
1329,20822.4471021159,1302.00013511791,0.0625286801658201
1411,19379.3762975456,2052.4635480356,0.105909680297376
1412,17037.4736160164,1896.08990848512,0.111289381936455
1421,9726.25,2250.13834581028,0.231346957543789
1422,21191.6772998559,5222.49814021383,0.246440999752734
1423,15596.9503311258,3738.74911250744,0.239710265990029
1511,14167.9720009224,629.949703779817,0.0444629410432774
1512,18214.9279852377,2428.29157118681,0.133313267730447
1521,14951.3445951368,1063.9898372236,0.0711634883707835
1522,11308.0411528748,1060.03229814516,0.0937414609492891
1523,13736.1857294827,784.57922834805,0.0571176921890381
1524,19148.1888235294,2219.23047720586,0.115897670409373
1525,28000,0,0
1526,10387.85144081,2490.37485643449,0.239739167490473
1611,11233.1271837876,1049.45015117012,0.0934245766116457
1612,15640.5113192818,2022.69546145317,0.129324126312902
1613,14050.3163603495,2671.84636147147,0.19016271896991
1614,11703.8012351727,840.075444563813,0.0717779999577563
1615,15538.22593092,1796.96590454541,0.115648074145297
1619,33999.6573777981,6849.86220747566,0.201468565737626
1621,33824.4123406614,12976.7209246169,0.383649560380304
1622,12659.7302679218,1782.75177165648,0.14082067579068
1623,15037.5300698898,1128.65235951387,0.0750557009208455
1624,12984.6153846154,2392.29555500114,0.184240771415964
1629,23572.4223602484,1425.98600281299,0.0604938254126023
1711,11443.0154225787,1117.01134734433,0.0976151220717847
1712,11416.3339805825,1312.98148380026,0.115009028820762
1721,10920.2926829268,2279.41800051734,0.208732317594478
1722,11856.5962246231,1661.52442814325,0.14013502666918
1723,6945.81054622316,1059.87091256842,0.152591393835919
1999,7446.17628801986,1469.49220565673,0.197348565064326
2111,15081.9640538201,838.315728633763,0.0555839893028672
2112,16452.456420068,1301.58369890672,0.0791118156264559
2113,4608.05761316872,339.906968568655,0.0737636108535801
2121,15001.4340073114,647.342830324631,0.0431520633300208
2122,17847.6975776853,1820.03047756662,0.101975645297922
2131,16355.8831341301,3830.72803775147,0.234211017915494
2132,14180.5225653207,2822.666255692,0.199052343994361
2133,12899.882629108,2340.52372531631,0.181437598512333
2134,9000,0,0
2135,15186.6475742473,719.845084723701,0.0473998676274266
2136,25058.4495021337,7983.64116895947,0.318600764515764
2142,10916.5229162226,703.175712438136,0.064413890561543
2143,12018.1427921783,1019.44497295498,0.084825500127895
2144,8781.85050856531,888.405328268787,0.101163795421283
2145,6674.67338801549,892.333040637357,0.133689394036802
2151,10000.4381161008,402.997815650092,0.0402980160440434
2152,10206.1945173256,701.623657512509,0.0687448839350907
2153,10380.2012808783,1214.90785837193,0.11704087671305
2161,8051.59454653231,1306.28743960507,0.162239595157914
2162,11284.9589854818,1121.38188103816,0.0993696018284894
2163,5585.6856187291,2395.19919369207,0.428810240529979
2164,8020.76631259484,829.000334683014,0.103356749514227
2171,7993.63791146425,1736.00741711455,0.217173636877499
2172,8157.43455446402,610.963574521615,0.0748965340074074
2173,11936.9956080154,2689.38676529213,0.225298463164909
2174,16998.2760867542,2628.49302793737,0.154632917745442
2175,2150,0,0
2211,14714.6420047733,3588.63483952984,0.243881899292264
2212,9931.44518518518,3567.54746035837,0.359217353953693
2221,14738.6404293381,3242.02421332908,0.219967657727482
2222,12353.2440464923,843.266419859912,0.0682627507953557
